Name,Location,Price,Area,Rooms
                        Apartment Beukelsdijk 154 A                            ,            3022 DM Rotterdam (Nieuwe Westen)        ,"                €1,995 per month            ",150 m²,3 rooms
                        Apartment Coolhaven                            ,            3024 AR Rotterdam (Delfshaven)        ,"                €1,195 per month            ",70 m²,2 rooms
                        Apartment Hoyledestraat                            ,            3036 LS Rotterdam (Oude Noorden)        ,                €995 per month            ,50 m²,2 rooms
                        Apartment Bergsingel                            ,            3037 GD Rotterdam (Liskwartier)        ,"                €1,495 per month            ",101 m²,3 rooms
                        Apartment Franselaan                            ,            3028 AB Rotterdam (Oud Mathenesse)        ,                €799 per month            ,51 m²,2 rooms
                        Apartment Dordtselaan                            ,            3073 GB Rotterdam (Bloemhof)        ,                €990 per month            ,65 m²,2 rooms
                        Apartment Bergweg 203 B01                            ,            3037 EJ Rotterdam (Liskwartier)        ,"                €1,335 per month            ",66 m²,3 rooms
                        Apartment Zwederstraat                            ,            3073 ZT Rotterdam (Bloemhof)        ,"                €1,150 per month            ",65 m²,2 rooms
                        Apartment Korhaanstraat                            ,            3083 XE Rotterdam (Carnisse)        ,                €630 per month            ,60 m²,3 rooms
                        Apartment Vierambachtsstraat                            ,            3023 AN Rotterdam (Nieuwe Westen)        ,"                €1,225 per month            ",65 m²,2 rooms
                        House Burgemeester Meineszlaan                            ,            3022 BK Rotterdam (Nieuwe Westen)        ,"                €2,250 per month            ",175 m²,5 rooms
                        Apartment Vlietlaan                            ,            3061 DZ Rotterdam (Kralingen West)        ,"                €1,100 per month            ",85 m²,5 rooms
                        Apartment Waterloostraat                            ,            3062 TP Rotterdam (Kralingen Oost)        ,"                €1,695 per month            ",45 m²,2 rooms
                        Apartment Zwaanshals                            ,            3035 KG Rotterdam (Oude Noorden)        ,                €895 per month            ,74 m²,2 rooms
                        Apartment Lange Hilleweg 77 A                            ,            3073 BJ Rotterdam (Bloemhof)        ,                €975 per month            ,63 m²,3 rooms
                        Apartment Van Beethovensingel                            ,            3055 JJ Rotterdam (Molenlaankwartier)        ,"                €1,595 per month            ",80 m²,3 rooms
                        Apartment Jufferkade                            ,            3011 VW Rotterdam (Stadsdriehoek)        ,"                €1,650 per month            ",83 m²,3 rooms
                        Studio Schilperoortstraat                            ,            3082 SX Rotterdam (Oud Charlois)        ,                €925 per month            ,20 m²,1 room
                        Apartment Sourystraat                            ,            3039 ST Rotterdam (Blijdorp)        ,"                €1,450 per month            ",100 m²,3 rooms
                        House Bergse Plaslaan 12                            ,            3054 AR Rotterdam (Hillegersberg Noord)        ,"                €3,000 per month            ",120 m²,4 rooms
                        Apartment Charloisse Hoofd                            ,            3087 CA Rotterdam (Oud Charlois)        ,"                €1,895 per month            ",100 m²,4 rooms
                        Apartment Zweedsestraat 155 B1                            ,            3028 TT Rotterdam (Oud Mathenesse)        ,                €950 per month            ,84 m²,84 rooms
                        Apartment Willem van Boelrestraat                            ,            3067 LM Rotterdam (Het Lage Land)        ,"                €1,300 per month            ",85 m²,4 rooms
                        Apartment Wilhelminakade                            ,            3072 AP Rotterdam (Kop van Zuid)        ,"                €1,550 per month            ",60 m²,2 rooms
                        Apartment West-Varkenoordseweg                            ,            3074 HT Rotterdam (Hillesluis)        ,"                €1,475 per month            ",100 m²,4 rooms
                        Apartment Laan op Zuid                            ,            3071 AB Rotterdam (Kop van Zuid - Entrepot)        ,"                €1,950 per month            ",96 m²,3 rooms
                        Apartment Bergselaan 151                            ,            3037 BH Rotterdam (Liskwartier)        ,"                €1,275 per month            ",50 m²,2 rooms
                        Apartment Voorhaven                            ,            3024 RM Rotterdam (Delfshaven)        ,"                €1,950 per month            ",105 m²,3 rooms
                        Apartment 's-Gravendijkwal                            ,            3014 EK Rotterdam (Oude Westen)        ,                €885 per month            ,28 m²,2 rooms
                        Apartment Vierambachtsstraat                            ,            3023 AR Rotterdam (Nieuwe Westen)        ,"                €1,095 per month            ",50 m²,3 rooms
                        Apartment Pannekoekstraat                            ,            3011 LK Rotterdam (Stadsdriehoek)        ,"                €1,750 per month            ",53 m²,2 rooms
